Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
P01-01-C-n02_fun_fwd-n04_fun_rev-rc-R2	50.0	54.0	226.0	30.0	2.0
P01-01-C-n03_fun_fwd-n02_fun_rev-rc-R2	44.44444444444444	53.0	228.0	30.0	9.0
P01-01-C-n03_fun_fwd-n03_fun_rev-rc-R2	90.92682926829268	53.0	227.0	27.27272727272727	2050.0
P01-01-C-n03_fun_fwd-n04_fun_rev-rc-R2	70.0	54.0	226.0	36.36363636363637	10.0
P01-01-C-n04_fun_fwd-n01_fun_rev-rc-R2	0.0	53.0	229.0	20.0	1.0
P01-01-C-n04_fun_fwd-n03_fun_rev-rc-R2	69.23076923076923	54.0	227.0	27.27272727272727	13.0
P01-01-C-n04_fun_fwd-n04_fun_rev-rc-R2	94.98886414253897	54.0	226.0	27.27272727272727	3592.0
P01-01-C-n04_fun_fwd-n05_fun_rev-rc-R2	61.11111111111111	54.0	225.0	36.36363636363637	18.0
P01-01-C-n04_fun_fwd-n06_fun_rev-rc-R2	0.0	54.0	224.0	20.0	1.0
P01-01-C-n04_gi_fwd-n06_gi_rev-rc-R2	0.0	41.0	227.0	30.0	2.0
P01-01-C-n05_fun_fwd-n03_fun_rev-rc-R2	0.0	53.0	227.0	20.0	1.0
P01-01-C-n05_fun_fwd-n04_fun_rev-rc-R2	86.84210526315789	54.0	226.0	27.27272727272727	38.0
P01-01-C-n05_fun_fwd-n05_fun_rev-rc-R2	92.59499837609613	53.0	225.0	27.27272727272727	3079.0
P01-01-C-n05_fun_fwd-n06_fun_rev-rc-R2	62.5	53.0	224.0	30.0	8.0
P01-01-C-n05_gi_fwd-n06_gi_rev-rc-R2	87.87878787878788	42.0	227.0	36.36363636363637	33.0
P01-01-C-n05_gi_fwd-n07_gi_rev-rc-R2	50.0	42.0	226.0	30.0	2.0
P01-01-C-n06_fun_fwd-n05_fun_rev-rc-R2	83.33333333333334	53.0	225.0	30.0	6.0
P01-01-C-n06_fun_fwd-n06_fun_rev-rc-R2	84.472049689441	53.0	224.0	27.27272727272727	322.0
P01-01-C-n06_gi_fwd-n05_gi_rev-rc-R2	80.0	42.0	228.0	30.0	5.0
P01-01-C-n06_gi_fwd-n06_gi_rev-rc-R2	89.09348441926346	42.0	227.0	36.36363636363637	706.0
P01-01-C-n06_gi_fwd-n07_gi_rev-rc-R2	74.19354838709677	42.0	226.0	36.36363636363637	31.0
P01-01-C-n06_gi_fwd-n08_gi_rev-rc-R2	0.0	41.0	225.0	20.0	1.0
P01-01-C-n07_fun_fwd-n06_fun_rev-rc-R2	0.0	53.0	224.0	30.0	2.0
P01-01-C-n07_gi_fwd-n06_gi_rev-rc-R2	50.0	41.0	227.0	30.0	2.0
P01-01-C-n07_gi_fwd-n07_gi_rev-rc-R2	86.17021276595744	42.0	226.0	36.36363636363637	188.0
P01-01-C-n07_gi_fwd-n08_gi_rev-rc-R2	92.0	41.0	225.0	36.36363636363637	25.0
P01-01-C-n08_gi_fwd-n07_gi_rev-rc-R2	75.0	42.0	226.0	40.0	4.0
P01-01-C-n08_gi_fwd-n08_gi_rev-rc-R2	91.33089133089133	41.0	224.95726495726495	36.36363636363637	819.0
P01-01-C-n08_gi_fwd-n09_gi_rev-rc-R2	66.66666666666667	42.0	224.0	27.27272727272727	12.0
P01-01-C-n09_gi_fwd-n08_gi_rev-rc-R2	84.61538461538461	41.0	225.0	36.36363636363637	13.0
P01-01-C-n09_gi_fwd-n09_gi_rev-rc-R2	86.91588785046729	42.0	224.0	36.36363636363637	321.0
P01-01-C-n09_gi_fwd-n10_gi_rev-rc-R2	0.0	42.0	223.0	20.0	1.0
P01-01-C-n10_gi_fwd-n09_gi_rev-rc-R2	0.0	41.0	224.0	20.0	1.0
P01-01-D-n01_fun_fwd-n04_fun_rev-rc-R2	0.0	53.0	226.0	20.0	1.0
P01-01-D-n02_fun_fwd-n03_fun_rev-rc-R2	33.33333333333334	54.0	227.0	30.0	3.0
P01-01-D-n02_fun_fwd-n04_fun_rev-rc-R2	50.0	53.0	226.0	20.0	2.0
P01-01-D-n02_fun_fwd-n05_fun_rev-rc-R2	0.0	54.0	225.0	20.0	1.0
P01-01-D-n03_fun_fwd-n01_fun_rev-rc-R2	0.0	54.0	229.0	20.0	1.0
P01-01-D-n03_fun_fwd-n02_fun_rev-rc-R2	60.0	53.0	228.0	36.36363636363637	20.0
P01-01-D-n03_fun_fwd-n03_fun_rev-rc-R2	89.46417820590005	53.0	225.8801926550271	27.27272727272727	1661.0
P01-01-D-n03_fun_fwd-n04_fun_rev-rc-R2	79.41176470588235	54.0	226.0	36.36363636363637	34.0
P01-01-D-n04_fun_fwd-n01_fun_rev-rc-R2	0.0	54.0	229.0	20.0	1.0
P01-01-D-n04_fun_fwd-n02_fun_rev-rc-R2	0.0	53.0	228.0	30.0	3.0
P01-01-D-n04_fun_fwd-n03_fun_rev-rc-R2	76.47058823529412	53.0	227.0	27.27272727272727	51.0
P01-01-D-n04_fun_fwd-n04_fun_rev-rc-R2	96.60918707433706	54.0	225.99014635560064	27.27272727272727	6901.0
P01-01-D-n04_fun_fwd-n05_fun_rev-rc-R2	73.6842105263158	53.0	225.0	36.36363636363637	19.0
P01-01-D-n04_gi_fwd-n06_gi_rev-rc-R2	0.0	41.0	227.0	20.0	2.0
P01-01-D-n05_fun_fwd-n03_fun_rev-rc-R2	0.0	53.0	227.0	20.0	1.0
P01-01-D-n05_fun_fwd-n04_fun_rev-rc-R2	79.54545454545455	54.0	226.0	36.36363636363637	44.0
P01-01-D-n05_fun_fwd-n05_fun_rev-rc-R2	91.83987682832948	53.0	223.98075442648192	27.27272727272727	2598.0
P01-01-D-n05_fun_fwd-n06_fun_rev-rc-R2	60.0	53.0	224.0	27.27272727272727	10.0
P01-01-D-n05_gi_fwd-n06_gi_rev-rc-R2	76.19047619047619	41.0	227.0	36.36363636363637	21.0
P01-01-D-n05_gi_fwd-n07_gi_rev-rc-R2	0.0	42.0	226.0	30.0	3.0
P01-01-D-n05_gi_fwd-n08_gi_rev-rc-R2	0.0	41.0	225.0	30.0	1.0
P01-01-D-n06_fun_fwd-n05_fun_rev-rc-R2	66.66666666666667	53.0	225.0	30.0	6.0
P01-01-D-n06_fun_fwd-n06_fun_rev-rc-R2	81.06508875739645	53.0	224.0	36.36363636363637	169.0
P01-01-D-n06_gi_fwd-n05_gi_rev-rc-R2	0.0	41.0	228.0	30.0	2.0
P01-01-D-n06_gi_fwd-n06_gi_rev-rc-R2	88.37606837606837	41.0	227.0	36.36363636363637	585.0
P01-01-D-n06_gi_fwd-n07_gi_rev-rc-R2	79.72972972972973	42.0	226.0	36.36363636363637	74.0
P01-01-D-n06_gi_fwd-n08_gi_rev-rc-R2	0.0	41.0	225.0	30.0	3.0
P01-01-D-n07_gi_fwd-n06_gi_rev-rc-R2	0.0	42.0	227.0	30.0	4.0
P01-01-D-n07_gi_fwd-n07_gi_rev-rc-R2	88.63636363636364	42.0	226.0	36.36363636363637	440.0
P01-01-D-n07_gi_fwd-n08_gi_rev-rc-R2	70.37037037037038	41.0	225.0	36.36363636363637	27.0
P01-01-D-n07_gi_fwd-n09_gi_rev-rc-R2	50.0	41.0	224.0	30.0	2.0
P01-01-D-n08_gi_fwd-n05_gi_rev-rc-R2	0.0	42.0	228.0	20.0	1.0
P01-01-D-n08_gi_fwd-n07_gi_rev-rc-R2	71.42857142857143	41.0	226.0	40.0	7.0
P01-01-D-n08_gi_fwd-n08_gi_rev-rc-R2	89.37282229965157	41.0	225.0	36.36363636363637	574.0
P01-01-D-n08_gi_fwd-n09_gi_rev-rc-R2	0.0	43.0	224.0	30.0	3.0
P01-01-D-n09_gi_fwd-n08_gi_rev-rc-R2	66.66666666666667	42.0	225.0	40.0	3.0
P01-01-D-n09_gi_fwd-n09_gi_rev-rc-R2	80.82191780821918	42.0	224.0	36.36363636363637	73.0
P01-01-D-n10_gi_fwd-n09_gi_rev-rc-R2	0.0	41.0	224.0	20.0	1.0
P01-01-E-n01_fun_fwd-n03_fun_rev-rc-R2	0.0	53.0	227.0	20.0	1.0
P01-01-E-n02_fun_fwd-n03_fun_rev-rc-R2	62.5	53.0	227.0	30.0	8.0
P01-01-E-n02_fun_fwd-n04_fun_rev-rc-R2	0.0	54.0	226.0	20.0	1.0
P01-01-E-n03_fun_fwd-n02_fun_rev-rc-R2	61.11111111111111	53.0	228.0	27.27272727272727	18.0
P01-01-E-n03_fun_fwd-n03_fun_rev-rc-R2	91.30434782608695	53.0	227.0	27.27272727272727	2714.0
P01-01-E-n03_fun_fwd-n04_fun_rev-rc-R2	81.25	53.0	226.0	27.27272727272727	16.0
P01-01-E-n03_fun_fwd-n05_fun_rev-rc-R2	0.0	53.0	225.0	20.0	1.0
P01-01-E-n04_fun_fwd-n02_fun_rev-rc-R2	0.0	52.0	228.0	20.0	1.0
P01-01-E-n04_fun_fwd-n03_fun_rev-rc-R2	60.0	53.0	227.0	27.27272727272727	35.0
P01-01-E-n04_fun_fwd-n04_fun_rev-rc-R2	96.17288651942117	54.0	225.989337395278	27.27272727272727	5252.0
P01-01-E-n04_fun_fwd-n05_fun_rev-rc-R2	64.70588235294117	53.0	225.0	27.27272727272727	17.0
P01-01-E-n04_gi_fwd-n07_gi_rev-rc-R2	50.0	41.0	226.0	30.0	2.0
P01-01-E-n05_fun_fwd-n01_fun_rev-rc-R2	50.0	53.0	229.0	20.0	2.0
P01-01-E-n05_fun_fwd-n03_fun_rev-rc-R2	0.0	53.0	227.0	20.0	1.0
P01-01-E-n05_fun_fwd-n04_fun_rev-rc-R2	78.37837837837839	54.0	226.0	27.27272727272727	37.0
P01-01-E-n05_fun_fwd-n05_fun_rev-rc-R2	93.34434741562427	53.0	225.0	27.27272727272727	4237.0
P01-01-E-n05_fun_fwd-n06_fun_rev-rc-R2	37.5	54.0	224.0	30.0	8.0
P01-01-E-n05_gi_fwd-n06_gi_rev-rc-R2	63.63636363636363	42.0	227.0	36.36363636363637	11.0
P01-01-E-n05_gi_fwd-n07_gi_rev-rc-R2	0.0	42.0	226.0	30.0	2.0
P01-01-E-n05_gi_fwd-n08_gi_rev-rc-R2	0.0	41.0	225.0	30.0	1.0
P01-01-E-n06_fun_fwd-n05_fun_rev-rc-R2	40.0	54.0	225.0	27.27272727272727	10.0
P01-01-E-n06_fun_fwd-n06_fun_rev-rc-R2	83.43023255813954	53.0	224.0	36.36363636363637	344.0
P01-01-E-n06_gi_fwd-n05_gi_rev-rc-R2	0.0	41.0	228.0	30.0	2.0
P01-01-E-n06_gi_fwd-n06_gi_rev-rc-R2	84.42211055276383	42.0	227.0	36.36363636363637	199.0
P01-01-E-n06_gi_fwd-n07_gi_rev-rc-R2	89.1566265060241	42.0	226.0	36.36363636363637	83.0
P01-01-E-n06_gi_fwd-n08_gi_rev-rc-R2	66.66666666666667	41.0	225.0	40.0	3.0
P01-01-E-n07_gi_fwd-n07_gi_rev-rc-R2	90.19933554817275	42.0	226.0	36.36363636363637	602.0
P01-01-E-n07_gi_fwd-n08_gi_rev-rc-R2	73.91304347826087	41.0	225.0	36.36363636363637	23.0
P01-01-E-n07_gi_fwd-n09_gi_rev-rc-R2	0.0	42.0	224.0	20.0	1.0
P01-01-E-n08_gi_fwd-n07_gi_rev-rc-R2	87.5	41.0	226.0	40.0	8.0
P01-01-E-n08_gi_fwd-n08_gi_rev-rc-R2	87.93456032719837	41.0	225.0	36.36363636363637	489.0
P01-01-E-n08_gi_fwd-n09_gi_rev-rc-R2	72.22222222222223	41.0	224.0	36.36363636363637	18.0
P01-01-E-n09_gi_fwd-n07_gi_rev-rc-R2	0.0	42.0	226.0	20.0	1.0
P01-01-E-n09_gi_fwd-n08_gi_rev-rc-R2	64.28571428571428	42.0	225.0	36.36363636363637	14.0
P01-01-E-n09_gi_fwd-n09_gi_rev-rc-R2	88.93939393939394	42.0	224.0	36.36363636363637	660.0
P01-01-E-n10_gi_fwd-n09_gi_rev-rc-R2	66.66666666666667	42.0	224.0	40.0	3.0
P01-01-F-n01_fun_fwd-n04_fun_rev-rc-R2	0.0	53.0	226.0	30.0	1.0
P01-01-F-n02_fun_fwd-n03_fun_rev-rc-R2	25.0	55.0	227.0	30.0	4.0
P01-01-F-n02_fun_fwd-n05_fun_rev-rc-R2	0.0	53.0	225.0	20.0	1.0
P01-01-F-n03_fun_fwd-n02_fun_rev-rc-R2	50.0	53.0	228.0	30.0	4.0
P01-01-F-n03_fun_fwd-n03_fun_rev-rc-R2	88.05528134254689	53.0	225.8035538005923	36.36363636363637	1013.0
P01-01-F-n03_fun_fwd-n04_fun_rev-rc-R2	82.75862068965517	54.0	226.0	27.27272727272727	29.0
P01-01-F-n03_fun_fwd-n06_fun_rev-rc-R2	0.0	53.0	224.0	20.0	1.0
P01-01-F-n04_fun_fwd-n01_fun_rev-rc-R2	33.33333333333334	53.0	229.0	30.0	3.0
P01-01-F-n04_fun_fwd-n02_fun_rev-rc-R2	0.0	54.0	228.0	20.0	1.0
P01-01-F-n04_fun_fwd-n03_fun_rev-rc-R2	76.13636363636364	53.0	227.0	27.27272727272727	88.0
P01-01-F-n04_fun_fwd-n04_fun_rev-rc-R2	97.45085504235257	54.0	226.0	27.27272727272727	12514.0
P01-01-F-n04_fun_fwd-n05_fun_rev-rc-R2	69.69696969696969	53.0	225.0	27.27272727272727	33.0
P01-01-F-n04_fun_fwd-n06_fun_rev-rc-R2	0.0	54.0	224.0	20.0	1.0
P01-01-F-n04_gi_fwd-n07_gi_rev-rc-R2	50.0	42.0	226.0	30.0	2.0
P01-01-F-n05_fun_fwd-n02_fun_rev-rc-R2	0.0	53.0	228.0	20.0	1.0
P01-01-F-n05_fun_fwd-n04_fun_rev-rc-R2	79.3103448275862	54.0	226.0	27.27272727272727	29.0
P01-01-F-n05_fun_fwd-n05_fun_rev-rc-R2	90.74914869466515	53.0	225.0	27.27272727272727	1762.0
P01-01-F-n05_fun_fwd-n06_fun_rev-rc-R2	66.66666666666667	53.0	224.0	36.36363636363637	12.0
P01-01-F-n05_gi_fwd-n06_gi_rev-rc-R2	83.33333333333334	42.0	227.0	36.36363636363637	12.0
P01-01-F-n05_gi_fwd-n07_gi_rev-rc-R2	75.0	42.0	226.0	27.27272727272727	12.0
P01-01-F-n06_fun_fwd-n04_fun_rev-rc-R2	66.66666666666667	53.0	226.0	40.0	3.0
P01-01-F-n06_fun_fwd-n05_fun_rev-rc-R2	76.66666666666667	53.0	225.0	27.27272727272727	30.0
