Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
P01-01-B-n10_gi_fwd-n09_gi_rev-rc-R2	0.0	42.0	224.0	30.0	3.0
P01-01-C-n01_fun_fwd-n03_fun_rev-rc-R2	0.0	53.0	227.0	20.0	1.0
P01-01-C-n01_fun_fwd-n05_fun_rev-rc-R2	0.0	52.0	225.0	20.0	1.0
P01-01-C-n02_fun_fwd-n03_fun_rev-rc-R2	25.0	54.0	227.0	30.0	4.0
P01-01-C-n02_fun_fwd-n04_fun_rev-rc-R2	50.0	54.0	226.0	30.0	2.0
P01-01-C-n03_fun_fwd-n02_fun_rev-rc-R2	44.44444444444444	53.0	228.0	30.0	9.0
P01-01-C-n03_fun_fwd-n03_fun_rev-rc-R2	90.38095238095238	53.0	227.0	27.27272727272727	2100.0
P01-01-C-n03_fun_fwd-n04_fun_rev-rc-R2	70.0	54.0	226.0	36.36363636363637	10.0
P01-01-C-n04_fun_fwd-n01_fun_rev-rc-R2	0.0	53.0	229.0	20.0	1.0
P01-01-C-n04_fun_fwd-n03_fun_rev-rc-R2	64.28571428571428	54.0	227.0	36.36363636363637	14.0
P01-01-C-n04_fun_fwd-n04_fun_rev-rc-R2	94.60864805692393	54.0	226.0	36.36363636363637	3654.0
P01-01-C-n04_fun_fwd-n05_fun_rev-rc-R2	61.11111111111111	54.0	225.0	36.36363636363637	18.0
P01-01-C-n04_fun_fwd-n06_fun_rev-rc-R2	0.0	54.0	224.0	20.0	1.0
P01-01-C-n04_gi_fwd-n06_gi_rev-rc-R2	0.0	41.0	227.0	30.0	2.0
P01-01-C-n05_fun_fwd-n03_fun_rev-rc-R2	0.0	53.0	227.0	20.0	1.0
P01-01-C-n05_fun_fwd-n04_fun_rev-rc-R2	84.61538461538461	54.0	226.0	36.36363636363637	39.0
P01-01-C-n05_fun_fwd-n05_fun_rev-rc-R2	92.112765283497	53.0	225.0	27.27272727272727	3157.0
P01-01-C-n05_fun_fwd-n06_fun_rev-rc-R2	62.5	53.0	224.0	30.0	8.0
P01-01-C-n05_gi_fwd-n06_gi_rev-rc-R2	87.87878787878788	42.0	227.0	36.36363636363637	33.0
