Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	per_tile_sequence_quality
P01-01-E-n06_gi_fwd-n05_gi_rev-rc-R2	P01-01-E-n06_gi_fwd-n05_gi_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2.0	0.0	228.0	41.0	100.0	228.0	pass	pass	pass	fail	fail	pass	pass	pass	fail	pass	
P01-01-E-n06_gi_fwd-n06_gi_rev-rc-R2	P01-01-E-n06_gi_fwd-n06_gi_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	200.0	0.0	227.0	42.0	15.5	227.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass	pass
P01-01-E-n06_gi_fwd-n07_gi_rev-rc-R2	P01-01-E-n06_gi_fwd-n07_gi_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	85.0	0.0	226.0	42.0	10.588235294117647	226.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass	pass
P01-01-E-n06_gi_fwd-n08_gi_rev-rc-R2	P01-01-E-n06_gi_fwd-n08_gi_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3.0	0.0	225.0	41.0	33.33333333333333	225.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass	
P01-01-E-n07_gi_fwd-n07_gi_rev-rc-R2	P01-01-E-n07_gi_fwd-n07_gi_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	609.0	0.0	226.0	42.0	10.344827586206897	226.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass	pass
P01-01-E-n07_gi_fwd-n08_gi_rev-rc-R2	P01-01-E-n07_gi_fwd-n08_gi_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23.0	0.0	225.0	41.0	26.08695652173913	225.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass	pass
P01-01-E-n07_gi_fwd-n09_gi_rev-rc-R2	P01-01-E-n07_gi_fwd-n09_gi_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1.0	0.0	224.0	42.0	100.0	224.0	pass	pass	pass	fail	pass	pass	pass	pass	fail	pass	
P01-01-E-n08_gi_fwd-n07_gi_rev-rc-R2	P01-01-E-n08_gi_fwd-n07_gi_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8.0	0.0	226.0	41.0	12.5	226.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass	
P01-01-E-n08_gi_fwd-n08_gi_rev-rc-R2	P01-01-E-n08_gi_fwd-n08_gi_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	493.0	0.0	225.0	41.0	12.170385395537526	225.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass	pass
P01-01-E-n08_gi_fwd-n09_gi_rev-rc-R2	P01-01-E-n08_gi_fwd-n09_gi_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19.0	0.0	224.0	41.0	31.57894736842105	224.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass	pass
P01-01-E-n09_gi_fwd-n07_gi_rev-rc-R2	P01-01-E-n09_gi_fwd-n07_gi_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1.0	0.0	226.0	42.0	100.0	226.0	pass	pass	pass	fail	pass	pass	pass	pass	fail	pass	
P01-01-E-n09_gi_fwd-n08_gi_rev-rc-R2	P01-01-E-n09_gi_fwd-n08_gi_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15.0	0.0	225.0	41.0	33.33333333333333	225.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass	pass
P01-01-E-n09_gi_fwd-n09_gi_rev-rc-R2	P01-01-E-n09_gi_fwd-n09_gi_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	670.0	0.0	224.0	42.0	11.641791044776118	224.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass	pass
P01-01-E-n10_gi_fwd-n09_gi_rev-rc-R2	P01-01-E-n10_gi_fwd-n09_gi_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3.0	0.0	224.0	42.0	33.33333333333333	224.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass	
P01-01-F-n01_fun_fwd-n04_fun_rev-rc-R2	P01-01-F-n01_fun_fwd-n04_fun_rev-rc-R2.fq.gz	Conventional base calls	Illumina 1.5	1.0	0.0	226.0	53.0	100.0	226.0	pass	pass	fail	fail	pass	pass	pass	pass	fail	pass	
P01-01-F-n02_fun_fwd-n03_fun_rev-rc-R2	P01-01-F-n02_fun_fwd-n03_fun_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4.0	0.0	227.0	55.0	75.0	227.0	pass	pass	pass	fail	fail	pass	pass	pass	fail	pass	
P01-01-F-n02_fun_fwd-n05_fun_rev-rc-R2	P01-01-F-n02_fun_fwd-n05_fun_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1.0	0.0	225.0	53.0	100.0	225.0	pass	pass	pass	fail	pass	pass	pass	pass	fail	pass	
P01-01-F-n03_fun_fwd-n02_fun_rev-rc-R2	P01-01-F-n03_fun_fwd-n02_fun_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5.0	0.0	228.0	53.0	60.0	228.0	pass	pass	pass	fail	fail	pass	pass	warn	fail	pass	
P01-01-F-n03_fun_fwd-n03_fun_rev-rc-R2	P01-01-F-n03_fun_fwd-n03_fun_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1026.0	0.0	25-227	53.0	12.183235867446394	225.80604288499026	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	pass
P01-01-F-n03_fun_fwd-n04_fun_rev-rc-R2	P01-01-F-n03_fun_fwd-n04_fun_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32.0	0.0	226.0	54.0	18.75	226.0	pass	pass	pass	fail	pass	pass	pass	fail	fail	pass	pass
P01-01-F-n03_fun_fwd-n06_fun_rev-rc-R2	P01-01-F-n03_fun_fwd-n06_fun_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1.0	0.0	224.0	53.0	100.0	224.0	pass	pass	pass	fail	pass	pass	pass	pass	fail	pass	
P01-01-F-n04_fun_fwd-n01_fun_rev-rc-R2	P01-01-F-n04_fun_fwd-n01_fun_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3.0	0.0	229.0	53.0	66.66666666666666	229.0	pass	pass	pass	fail	fail	pass	pass	warn	fail	pass	
P01-01-F-n04_fun_fwd-n02_fun_rev-rc-R2	P01-01-F-n04_fun_fwd-n02_fun_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1.0	0.0	228.0	54.0	100.0	228.0	pass	pass	pass	fail	pass	pass	pass	pass	fail	pass	
P01-01-F-n04_fun_fwd-n03_fun_rev-rc-R2	P01-01-F-n04_fun_fwd-n03_fun_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	91.0	0.0	227.0	53.0	25.274725274725274	227.0	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass	pass
P01-01-F-n04_fun_fwd-n04_fun_rev-rc-R2	P01-01-F-n04_fun_fwd-n04_fun_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12734.0	0.0	226.0	54.0	2.7956651484215485	226.0	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass	pass
P01-01-F-n04_fun_fwd-n05_fun_rev-rc-R2	P01-01-F-n04_fun_fwd-n05_fun_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34.0	0.0	225.0	53.0	29.411764705882355	225.0	pass	pass	pass	fail	pass	pass	pass	fail	fail	pass	warn
P01-01-F-n04_fun_fwd-n06_fun_rev-rc-R2	P01-01-F-n04_fun_fwd-n06_fun_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1.0	0.0	224.0	54.0	100.0	224.0	pass	pass	pass	fail	pass	pass	pass	pass	fail	pass	
P01-01-F-n04_gi_fwd-n07_gi_rev-rc-R2	P01-01-F-n04_gi_fwd-n07_gi_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2.0	0.0	226.0	42.0	50.0	226.0	pass	pass	pass	fail	fail	pass	pass	warn	fail	pass	
P01-01-F-n05_fun_fwd-n02_fun_rev-rc-R2	P01-01-F-n05_fun_fwd-n02_fun_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1.0	0.0	228.0	53.0	100.0	228.0	pass	pass	pass	fail	pass	pass	pass	pass	fail	pass	
P01-01-F-n05_fun_fwd-n04_fun_rev-rc-R2	P01-01-F-n05_fun_fwd-n04_fun_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30.0	0.0	226.0	54.0	20.0	226.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass	pass
P01-01-F-n05_fun_fwd-n05_fun_rev-rc-R2	P01-01-F-n05_fun_fwd-n05_fun_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1795.0	0.0	225.0	53.0	9.637883008356546	225.0	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass	pass
P01-01-F-n05_fun_fwd-n06_fun_rev-rc-R2	P01-01-F-n05_fun_fwd-n06_fun_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12.0	0.0	224.0	53.0	33.33333333333333	224.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass	pass
P01-01-F-n05_gi_fwd-n06_gi_rev-rc-R2	P01-01-F-n05_gi_fwd-n06_gi_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12.0	0.0	227.0	42.0	16.666666666666664	227.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass	pass
P01-01-F-n05_gi_fwd-n07_gi_rev-rc-R2	P01-01-F-n05_gi_fwd-n07_gi_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13.0	0.0	226.0	42.0	30.76923076923077	226.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass	pass
P01-01-F-n06_fun_fwd-n04_fun_rev-rc-R2	P01-01-F-n06_fun_fwd-n04_fun_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3.0	0.0	226.0	53.0	33.33333333333333	226.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass	
P01-01-F-n06_fun_fwd-n05_fun_rev-rc-R2	P01-01-F-n06_fun_fwd-n05_fun_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31.0	0.0	225.0	54.0	25.806451612903224	225.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass	pass
P01-01-F-n06_fun_fwd-n06_fun_rev-rc-R2	P01-01-F-n06_fun_fwd-n06_fun_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2685.0	0.0	224.0	53.0	9.422718808193668	224.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass	pass
P01-01-F-n06_fun_fwd-n07_fun_rev-rc-R2	P01-01-F-n06_fun_fwd-n07_fun_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9.0	0.0	223.0	53.0	33.33333333333333	223.0	pass	pass	pass	fail	pass	pass	pass	fail	fail	pass	
P01-01-F-n06_gi_fwd-n06_gi_rev-rc-R2	P01-01-F-n06_gi_fwd-n06_gi_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	289.0	0.0	227.0	41.0	12.802768166089965	227.0	pass	pass	pass	fail	pass	pass	pass	fail	fail	pass	pass
P01-01-F-n06_gi_fwd-n07_gi_rev-rc-R2	P01-01-F-n06_gi_fwd-n07_gi_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	204.0	0.0	226.0	42.0	17.647058823529413	226.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass	pass
P01-01-F-n06_gi_fwd-n08_gi_rev-rc-R2	P01-01-F-n06_gi_fwd-n08_gi_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4.0	0.0	225.0	42.0	25.0	225.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass	
P01-01-F-n07_fun_fwd-n06_fun_rev-rc-R2	P01-01-F-n07_fun_fwd-n06_fun_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3.0	0.0	224.0	54.0	100.0	224.0	pass	pass	pass	fail	fail	pass	pass	pass	fail	pass	
P01-01-F-n07_gi_fwd-n06_gi_rev-rc-R2	P01-01-F-n07_gi_fwd-n06_gi_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3.0	0.0	227.0	41.0	66.66666666666666	227.0	pass	pass	pass	fail	fail	pass	pass	warn	fail	pass	
P01-01-F-n07_gi_fwd-n07_gi_rev-rc-R2	P01-01-F-n07_gi_fwd-n07_gi_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1313.0	0.0	226.0	42.0	7.616146230007616	226.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass	pass
