sample input filtered denoised.fwd denoised.rev merged
P01-01-H-n07_gi_fwd-n07_gi_rev 163 161 161 161 105
P01-01-H-n07_gi_fwd-n08_gi_rev 6 6 6 6 6
P01-01-H-n08_gi_fwd-n07_gi_rev 3 3 3 3 3
P01-01-H-n08_gi_fwd-n08_gi_rev 120 118 118 118 118
P01-01-H-n08_gi_fwd-n09_gi_rev 3 3 3 3 3
P01-01-H-n09_gi_fwd-n07_gi_rev 1 1 1 1 1
P01-01-H-n09_gi_fwd-n08_gi_rev 2 2 2 2 2
P01-01-H-n09_gi_fwd-n09_gi_rev 123 122 122 122 122
P01-01-H-n09_gi_fwd-n10_gi_rev 1 1 1 1 1
P01-02-A-n06_gi_fwd-n06_gi_rev 1 1 1 1 1
P01-02-A-n08_gi_fwd-n08_gi_rev 1 1 1 1 1
P01-02-D-n07_gi_fwd-n07_gi_rev 1 1 1 1 1
P01-02-D-n09_gi_fwd-n09_gi_rev 1 0 NA NA NA
