Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	per_tile_sequence_quality
P01-01-H-n02_fun_fwd-n04_fun_rev-rc-R1	P01-01-H-n02_fun_fwd-n04_fun_rev-rc-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1.0	0.0	224.0	60.0	100.0	224.0	pass	pass	pass	fail	pass	pass	pass	pass	fail	pass	
P01-01-H-n03_fun_fwd-n02_fun_rev-rc-R1	P01-01-H-n03_fun_fwd-n02_fun_rev-rc-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2.0	0.0	223.0	60.0	100.0	223.0	pass	pass	pass	fail	fail	pass	pass	pass	fail	pass	
P01-01-H-n03_fun_fwd-n03_fun_rev-rc-R1	P01-01-H-n03_fun_fwd-n03_fun_rev-rc-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	774.0	0.0	25-223	59.0	14.728682170542637	221.74806201550388	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	pass
P01-01-H-n03_fun_fwd-n04_fun_rev-rc-R1	P01-01-H-n03_fun_fwd-n04_fun_rev-rc-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4.0	0.0	223.0	59.0	75.0	223.0	pass	pass	pass	fail	fail	pass	pass	pass	fail	pass	
P01-01-H-n04_fun_fwd-n03_fun_rev-rc-R1	P01-01-H-n04_fun_fwd-n03_fun_rev-rc-R1.fq.gz	Conventional base calls	Illumina 1.3	1.0	0.0	222.0	60.0	100.0	222.0	pass	pass	fail	fail	pass	pass	pass	pass	fail	pass	
P01-01-H-n04_fun_fwd-n04_fun_rev-rc-R1	P01-01-H-n04_fun_fwd-n04_fun_rev-rc-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	493.0	0.0	222.0	60.0	11.561866125760648	222.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass	pass
P01-01-H-n04_fun_fwd-n05_fun_rev-rc-R1	P01-01-H-n04_fun_fwd-n05_fun_rev-rc-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4.0	0.0	222.0	60.0	50.0	222.0	pass	pass	pass	fail	fail	pass	pass	warn	fail	pass	
P01-01-H-n04_gi_fwd-n06_gi_rev-rc-R1	P01-01-H-n04_gi_fwd-n06_gi_rev-rc-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1.0	0.0	225.0	47.0	100.0	225.0	pass	pass	pass	fail	pass	pass	pass	pass	fail	pass	
P01-01-H-n05_fun_fwd-n04_fun_rev-rc-R1	P01-01-H-n05_fun_fwd-n04_fun_rev-rc-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5.0	0.0	221.0	60.0	20.0	221.0	pass	pass	pass	fail	pass	pass	pass	fail	fail	pass	
P01-01-H-n05_fun_fwd-n05_fun_rev-rc-R1	P01-01-H-n05_fun_fwd-n05_fun_rev-rc-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	516.0	0.0	221.0	60.0	13.75968992248062	221.0	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass	pass
P01-01-H-n05_fun_fwd-n06_fun_rev-rc-R1	P01-01-H-n05_fun_fwd-n06_fun_rev-rc-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3.0	0.0	221.0	60.0	33.33333333333333	221.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass	
P01-01-H-n05_gi_fwd-n06_gi_rev-rc-R1	P01-01-H-n05_gi_fwd-n06_gi_rev-rc-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6.0	0.0	224.0	47.0	66.66666666666666	224.0	pass	pass	pass	fail	warn	pass	pass	warn	fail	pass	
P01-01-H-n05_gi_fwd-n07_gi_rev-rc-R1	P01-01-H-n05_gi_fwd-n07_gi_rev-rc-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1.0	0.0	224.0	46.0	100.0	224.0	pass	pass	pass	fail	pass	pass	pass	pass	fail	pass	
P01-01-H-n06_fun_fwd-n05_fun_rev-rc-R1	P01-01-H-n06_fun_fwd-n05_fun_rev-rc-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5.0	0.0	220.0	60.0	80.0	220.0	pass	pass	pass	fail	fail	pass	pass	pass	fail	pass	
P01-01-H-n06_fun_fwd-n06_fun_rev-rc-R1	P01-01-H-n06_fun_fwd-n06_fun_rev-rc-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	145.0	0.0	220.0	60.0	20.689655172413794	220.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass	pass
P01-01-H-n06_gi_fwd-n06_gi_rev-rc-R1	P01-01-H-n06_gi_fwd-n06_gi_rev-rc-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	311.0	0.0	223.0	47.0	11.89710610932476	223.0	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass	pass
P01-01-H-n06_gi_fwd-n07_gi_rev-rc-R1	P01-01-H-n06_gi_fwd-n07_gi_rev-rc-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27.0	0.0	223.0	47.0	18.51851851851852	223.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass	pass
P01-01-H-n06_gi_fwd-n08_gi_rev-rc-R1	P01-01-H-n06_gi_fwd-n08_gi_rev-rc-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2.0	0.0	223.0	47.0	100.0	223.0	pass	pass	pass	fail	pass	pass	pass	pass	fail	pass	
P01-01-H-n07_fun_fwd-n06_fun_rev-rc-R1	P01-01-H-n07_fun_fwd-n06_fun_rev-rc-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1.0	0.0	219.0	61.0	100.0	219.0	pass	pass	pass	fail	pass	pass	pass	pass	fail	pass	
P01-01-H-n07_gi_fwd-n05_gi_rev-rc-R1	P01-01-H-n07_gi_fwd-n05_gi_rev-rc-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1.0	0.0	222.0	47.0	100.0	222.0	pass	pass	pass	fail	pass	pass	pass	pass	fail	pass	
P01-01-H-n07_gi_fwd-n07_gi_rev-rc-R1	P01-01-H-n07_gi_fwd-n07_gi_rev-rc-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	161.0	0.0	222.0	47.0	14.285714285714285	222.0	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass	pass
P01-01-H-n07_gi_fwd-n08_gi_rev-rc-R1	P01-01-H-n07_gi_fwd-n08_gi_rev-rc-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6.0	0.0	222.0	46.0	33.33333333333333	222.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass	
P01-01-H-n08_gi_fwd-n07_gi_rev-rc-R1	P01-01-H-n08_gi_fwd-n07_gi_rev-rc-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3.0	0.0	221.0	47.0	66.66666666666666	221.0	pass	pass	pass	fail	fail	pass	pass	warn	fail	pass	
P01-01-H-n08_gi_fwd-n08_gi_rev-rc-R1	P01-01-H-n08_gi_fwd-n08_gi_rev-rc-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	118.0	0.0	221.0	46.0	20.33898305084746	221.0	pass	pass	pass	fail	pass	pass	pass	fail	fail	pass	pass
P01-01-H-n08_gi_fwd-n09_gi_rev-rc-R1	P01-01-H-n08_gi_fwd-n09_gi_rev-rc-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3.0	0.0	221.0	46.0	33.33333333333333	221.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass	
P01-01-H-n09_gi_fwd-n07_gi_rev-rc-R1	P01-01-H-n09_gi_fwd-n07_gi_rev-rc-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1.0	0.0	220.0	47.0	100.0	220.0	pass	pass	pass	fail	pass	pass	pass	pass	fail	pass	
P01-01-H-n09_gi_fwd-n08_gi_rev-rc-R1	P01-01-H-n09_gi_fwd-n08_gi_rev-rc-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2.0	0.0	220.0	47.0	100.0	220.0	pass	pass	pass	fail	fail	pass	pass	pass	fail	pass	
P01-01-H-n09_gi_fwd-n09_gi_rev-rc-R1	P01-01-H-n09_gi_fwd-n09_gi_rev-rc-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	122.0	0.0	220.0	47.0	22.950819672131146	220.0	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass	pass
P01-01-H-n09_gi_fwd-n10_gi_rev-rc-R1	P01-01-H-n09_gi_fwd-n10_gi_rev-rc-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1.0	0.0	220.0	47.0	100.0	220.0	pass	pass	pass	fail	pass	pass	pass	pass	fail	pass	
P01-02-A-n03_fun_fwd-n03_fun_rev-rc-R1	P01-02-A-n03_fun_fwd-n03_fun_rev-rc-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2.0	0.0	24-25	53.0	100.0	24.5	pass	pass	pass	fail	pass	pass	warn	pass	fail	pass	
