trim2 reads
P01-01-G-n06_gi_fwd-n08_gi_rev 1
P01-01-F-n09_gi_fwd-n10_gi_rev 1
P01-01-D-n02_fun_fwd-n05_fun_rev 2
P01-01-C-n06_gi_fwd-n06_gi_rev 715
P01-01-C-n06_fun_fwd-n06_fun_rev 332
P01-01-F-n04_fun_fwd-n06_fun_rev 1
P01-01-H-n08_gi_fwd-n09_gi_rev 3
P01-02-C-n05_fun_fwd-n05_fun_rev 2
P01-01-B-n05_fun_fwd-n06_fun_rev 15
P01-01-B-n05_gi_fwd-n07_gi_rev 7
P01-01-C-n07_gi_fwd-n07_gi_rev 193
P01-01-A-n03_fun_fwd-n02_fun_rev 3
P01-01-H-n09_gi_fwd-n08_gi_rev 2
P01-01-D-n08_gi_fwd-n08_gi_rev 583
P01-01-B-n04_fun_fwd-n04_fun_rev 2169
P01-01-C-n04_fun_fwd-n03_fun_rev 14
P01-01-B-n06_gi_fwd-n05_gi_rev 2
P01-01-D-n02_fun_fwd-n04_fun_rev 2
P01-01-E-n02_fun_fwd-n03_fun_rev 8
P01-02-D-n07_gi_fwd-n07_gi_rev 1
P01-01-F-n05_fun_fwd-n05_fun_rev 1795
P01-01-G-n06_gi_fwd-n06_gi_rev 274
P01-01-C-n06_gi_fwd-n08_gi_rev 1
P01-01-H-n03_fun_fwd-n02_fun_rev 4
P01-01-H-n08_gi_fwd-n07_gi_rev 3
P01-01-B-n09_gi_fwd-n10_gi_rev 1
P01-01-E-n03_fun_fwd-n02_fun_rev 18
P01-01-G-n06_gi_fwd-n09_gi_rev 1
P01-01-A-n01_fun_fwd-n05_fun_rev 1
P01-01-G-n05_fun_fwd-n01_fun_rev 1
P01-01-H-n08_gi_fwd-n08_gi_rev 120
P01-01-F-n05_fun_fwd-n06_fun_rev 12
P01-01-C-n07_fun_fwd-n06_fun_rev 2
P01-01-C-n06_gi_fwd-n07_gi_rev 32
P01-01-F-n04_fun_fwd-n04_fun_rev 12734
P01-01-D-n09_gi_fwd-n08_gi_rev 3
P01-01-G-n04_fun_fwd-n03_fun_rev 2
P01-01-H-n02_fun_fwd-n03_fun_rev 5
P01-01-D-n08_gi_fwd-n07_gi_rev 7
P01-02-C-n04_fun_fwd-n04_fun_rev 1
P01-01-G-n07_gi_fwd-n06_gi_rev 2
P01-01-B-n05_fun_fwd-n05_fun_rev 550
P01-01-F-n10_gi_fwd-n09_gi_rev 2
P01-01-F-n05_gi_fwd-n06_gi_rev 12
P01-01-H-n09_gi_fwd-n07_gi_rev 1
P01-01-C-n07_gi_fwd-n08_gi_rev 25
P01-01-C-n06_fun_fwd-n05_fun_rev 6
P01-01-B-n06_fun_fwd-n02_fun_rev 1
P01-01-G-n06_gi_fwd-n07_gi_rev 7
P01-01-F-n04_fun_fwd-n05_fun_rev 34
P01-01-F-n04_gi_fwd-n07_gi_rev 2
P01-01-E-n03_fun_fwd-n03_fun_rev 2769
P01-01-D-n03_fun_fwd-n04_fun_rev 34
P01-01-D-n08_gi_fwd-n09_gi_rev 3
P01-01-C-n05_fun_fwd-n03_fun_rev 1
P01-01-B-n05_fun_fwd-n04_fun_rev 7
P01-01-B-n05_gi_fwd-n06_gi_rev 23
P01-01-B-n10_gi_fwd-n09_gi_rev 3
P01-01-G-n06_fun_fwd-n06_fun_rev 278
P01-01-G-n07_gi_fwd-n08_gi_rev 7
P01-01-C-n04_fun_fwd-n01_fun_rev 1
P01-01-H-n09_gi_fwd-n09_gi_rev 123
P01-01-C-n07_gi_fwd-n06_gi_rev 2
